setup_time,setup_type,entry_time,exit_time,direction,size,gross_pnl,net_pnl,commission,slippage,mae,mfe,time_in_trade_min,exit_reason
2024-10-07 11:14:00-04:00,UPSIDE_ATTEMPT,2024-10-07 11:16:00-04:00,2024-10-07 11:18:00-04:00,SHORT,1,-12.5,-16.15,2.4,1.25,13.75,0.0,2.0,STOP_LOSS
2024-10-07 13:45:00-04:00,DOWNSIDE_ATTEMPT,2024-10-07 13:58:00-04:00,2024-10-07 14:01:00-04:00,LONG,1,-16.25,-19.9,2.4,1.25,22.5,6.25,3.0,STOP_LOSS
2024-10-08 11:02:00-04:00,UPSIDE_ATTEMPT,2024-10-08 11:03:00-04:00,2024-10-08 11:48:00-04:00,SHORT,1,7.5,3.8499999999999996,2.4,1.25,7.5,37.5,45.0,TIME_STOP
2024-10-08 11:51:00-04:00,UPSIDE_ATTEMPT,2024-10-08 11:58:00-04:00,2024-10-08 12:43:00-04:00,SHORT,1,6.25,2.6,2.4,1.25,8.75,38.75,45.0,TIME_STOP
2024-10-08 14:04:00-04:00,UPSIDE_ATTEMPT,2024-10-08 14:22:00-04:00,2024-10-08 14:34:00-04:00,SHORT,1,-12.5,-16.15,2.4,1.25,12.5,2.5,12.0,STOP_LOSS
2024-10-09 10:02:00-04:00,UPSIDE_ATTEMPT,2024-10-09 10:09:00-04:00,2024-10-09 10:26:00-04:00,SHORT,1,-18.75,-22.4,2.4,1.25,23.75,10.0,17.0,STOP_LOSS
2024-10-09 13:03:00-04:00,DOWNSIDE_ATTEMPT,2024-10-09 13:06:00-04:00,2024-10-09 13:51:00-04:00,LONG,1,7.5,3.8499999999999996,2.4,1.25,8.75,36.25,45.0,TIME_STOP
2024-10-09 14:46:00-04:00,UPSIDE_ATTEMPT,2024-10-09 14:54:00-04:00,2024-10-09 15:19:00-04:00,SHORT,1,-17.5,-21.15,2.4,1.25,17.5,23.75,25.0,STOP_LOSS
2024-10-10 10:09:00-04:00,UPSIDE_ATTEMPT,2024-10-10 10:13:00-04:00,2024-10-10 10:18:00-04:00,SHORT,1,-16.25,-19.9,2.4,1.25,20.0,1.25,5.0,STOP_LOSS
2024-10-10 11:19:00-04:00,UPSIDE_ATTEMPT,2024-10-10 11:31:00-04:00,2024-10-10 11:33:00-04:00,SHORT,1,-16.25,-19.9,2.4,1.25,16.25,2.5,2.0,STOP_LOSS
2024-10-10 13:15:00-04:00,DOWNSIDE_ATTEMPT,2024-10-10 13:16:00-04:00,2024-10-10 13:53:00-04:00,LONG,1,-20.0,-23.65,2.4,1.25,43.75,53.75,37.0,STOP_LOSS
2024-10-11 10:28:00-04:00,UPSIDE_ATTEMPT,2024-10-11 10:45:00-04:00,2024-10-11 11:08:00-04:00,SHORT,1,-16.25,-19.9,2.4,1.25,23.75,32.5,23.0,STOP_LOSS
2024-10-11 13:03:00-04:00,DOWNSIDE_ATTEMPT,2024-10-11 13:18:00-04:00,2024-10-11 14:03:00-04:00,LONG,1,31.25,27.6,2.4,1.25,6.25,43.75,45.0,TIME_STOP
2024-10-11 14:31:00-04:00,UPSIDE_ATTEMPT,2024-10-11 14:38:00-04:00,2024-10-11 15:06:00-04:00,SHORT,1,-51.25,-54.9,2.4,1.25,52.5,1.25,28.0,STOP_LOSS
